traffic,series,configured_injection_rate,sample_count,seeds,accepted_throughput_mean,accepted_throughput_sd,average_packet_latency_cycles_mean,average_packet_latency_cycles_sd,express_traversals_per_packet_mean,escape_fraction_mean,max_link_utilization_mean,no_progress_runs
bit_complement,aspl,0.3,3,"[1, 2, 3]",0.14975173611133333,0.0001405396690426389,16.23638781113333,0.012954179377441363,1.1074402934202299,2.31619809979e-06,0.6281555555553333,0
bit_complement,aspl,0.5,3,"[1, 2, 3]",0.19584305555566664,0.0011063103483513552,2935.763306993333,36.54241701247988,0.9022791614606747,0.070195660101,0.7814666666666668,0
bit_complement,aspl,0.7,3,"[1, 2, 3]",0.18486232638866665,0.0002787911204939564,7866.124743716667,31.192077393018693,0.7722067490595177,0.1708287221996667,0.8176555555556666,0
bit_complement,aspl,0.8,3,"[1, 2, 3]",0.18516597222233333,0.00041720501982142724,9361.753857226666,52.38203046539597,0.7719647255664078,0.17033250856866666,0.8180666666666667,0
bit_complement,bitcomp_aspl,0.3,3,"[1, 2, 3]",0.149748611111,0.00013693482168876148,10.975444261466668,0.00405055334143785,0.933015365539346,0.0,0.6382333333333333,0
bit_complement,bitcomp_aspl,0.5,3,"[1, 2, 3]",0.24332309027766666,0.00010394971642236665,397.16908900166663,4.134187557416857,0.8685928128091155,0.0001084522097044,0.7468666666666666,0
bit_complement,bitcomp_aspl,0.7,3,"[1, 2, 3]",0.2793880208336667,9.21507106441631e-05,2978.4732805,14.852727373838311,0.7070302014413242,0.007848238557853333,0.7534444444443333,0
bit_complement,bitcomp_aspl,0.8,3,"[1, 2, 3]",0.27371961805533335,0.00017516182458309173,4984.92533464,8.300488961918779,0.694213718036318,0.010627166795533334,0.7586111111113333,0
bit_complement,mesh,0.3,3,"[1, 2, 3]",0.14974913194433334,0.00014650720654387175,24.910099654899998,0.08480876842518788,0.0,0.00030137280635166665,0.6058222222223333,0
bit_complement,mesh,0.5,3,"[1, 2, 3]",0.136412847222,0.0002770619031298516,6865.88454505,8.237912127937701,0.0,0.2775738534616667,0.8402333333333333,0
bit_complement,mesh,0.7,3,"[1, 2, 3]",0.12937500000000002,6.615335164009308e-05,10332.9358119,13.264678295616813,0.0,0.331911122919,0.873366666667,0
bit_complement,mesh,0.8,3,"[1, 2, 3]",0.128002777778,7.887525542943623e-05,11373.211398566666,5.749900327985437,0.0,0.3429379760026667,0.8804444444443332,0
bit_complement,random,0.3,3,"[1, 2, 3]",0.14668923611100002,0.00015482704680779615,347.55008247766665,6.036205183728255,0.7169969859043502,0.016962887644000002,0.7478888888886667,0
bit_complement,random,0.5,3,"[1, 2, 3]",0.17516371527766664,0.00023100052757567144,4191.170120916667,6.392281955599797,0.5551169717248672,0.13244697249666668,0.8172444444443334,0
bit_complement,random,0.7,3,"[1, 2, 3]",0.17433993055533334,0.00011398623901608304,8276.080183463333,19.08128072782838,0.5276424450073467,0.17920956574400002,0.872588888889,0
bit_complement,random,0.8,3,"[1, 2, 3]",0.17459218750000002,0.0001187736028468409,9664.196153193334,10.263223943647793,0.5276103610745085,0.18015023154833334,0.8769555555556666,0
bit_complement,stride_aspl,0.3,3,"[1, 2, 3]",0.14975086805566665,0.00014251452582586784,15.809567222466667,0.002466608103943082,1.0945038010803643,0.0,0.5178222222223333,0
