traffic,series,configured_injection_rate,sample_count,seeds,accepted_throughput_mean,accepted_throughput_sd,average_packet_latency_cycles_mean,average_packet_latency_cycles_sd,express_traversals_per_packet_mean,escape_fraction_mean,max_link_utilization_mean,no_progress_runs
cutstress,Dijkstra_express,0.5,3,"[1, 2, 3]",0.124379340278,8.543607215520183e-05,62.39503286366667,12.11142759022993,0.5011336611238889,4.4666428601333334e-05,0.711911111111,0
cutstress,Dijkstra_express,0.7,3,"[1, 2, 3]",0.14991770833366666,0.00010564574911256986,1730.6069654733335,8.143457694787264,0.41899963140057817,0.0007307797417860001,0.754911111111,0
cutstress,Dijkstra_express,0.8,3,"[1, 2, 3]",0.15677743055533333,7.9823361392071e-06,2756.93812725,21.33454463898126,0.40665398596871666,0.002594568449073333,0.7717000000003332,0
cutstress,Dijkstra_global,0.5,3,"[1, 2, 3]",0.12478888888900001,2.4914252975960142e-05,12.655598628,0.013489262692512608,0.6070919336367551,0.0,0.7111777777776668,0
cutstress,Dijkstra_global,0.7,3,"[1, 2, 3]",0.16693333333333335,3.041714257999333e-05,574.02945864,1.4216539128819627,0.5717238055064996,0.00016640280587766667,0.7418888888890001,0
cutstress,Dijkstra_global,0.8,3,"[1, 2, 3]",0.17546927083333333,3.295960164893223e-05,1478.9572446733334,15.763071084441608,0.5546604884627507,0.0028782009249433333,0.7418111111110001,0
cutstress,K8_pressure,0.5,3,"[1, 2, 3]",0.118546527778,0.00013179061742770568,711.6509147433334,11.913741537066645,0.37330478601048794,4.5423494314633336e-05,0.7502444444443332,0
cutstress,K8_pressure,0.7,3,"[1, 2, 3]",0.13855104166666665,9.933317166513238e-05,2474.84142183,7.0661135763278216,0.3412111042433646,9.773869428926665e-05,0.7506777777776668,0
cutstress,K8_pressure,0.8,3,"[1, 2, 3]",0.14136840277766669,5.133196423889839e-05,3693.09022497,9.968289413901852,0.338975859856603,2.2109960062966668e-05,0.7500777777776667,0
uniform_random,Dijkstra_express,0.5,3,"[1, 2, 3]",0.24966093749966667,0.00021177239608376037,12.9910047029,0.007304067592246674,0.7995374032238232,0.0,0.4406333333333334,0
uniform_random,Dijkstra_express,0.7,3,"[1, 2, 3]",0.34949322916700004,8.922226167929045e-05,15.425670160400001,0.04905383333625212,0.695051722115541,0.0003789998529696666,0.5284888888886666,0
uniform_random,Dijkstra_express,0.8,3,"[1, 2, 3]",0.3340296875,0.0007477833029722353,2961.6884998166665,41.023907283365155,0.523712364616372,0.05442131462006666,0.5636777777776666,0
uniform_random,Dijkstra_global,0.5,3,"[1, 2, 3]",0.24966319444433335,0.00021042411511642135,13.057844105466666,0.002361011917702364,0.7142510271128467,0.0,0.40762222222233335,0
uniform_random,Dijkstra_global,0.7,3,"[1, 2, 3]",0.34948489583333336,9.109770533277069e-05,13.775752290200002,0.00042572225467699836,0.703313464258643,0.0,0.5504555555556667,0
uniform_random,Dijkstra_global,0.8,3,"[1, 2, 3]",0.3996118055553333,5.263996522792273e-05,14.830432706433333,0.00385875329863984,0.6930102193499305,4.345166089633333e-07,0.6080444444446667,0
uniform_random,K8_pressure,0.5,3,"[1, 2, 3]",0.24965972222199997,0.0002098048437643374,13.2290917921,0.0074788625225689995,0.6242275182098469,0.0,0.3781777777776667,0
uniform_random,K8_pressure,0.7,3,"[1, 2, 3]",0.34947968749999997,0.00010041238039376399,16.337757554833335,0.09418349017930543,0.5306432078410325,0.0011172357249100001,0.5658333333333333,0
uniform_random,K8_pressure,0.8,3,"[1, 2, 3]",0.3514067708333333,0.0004937084265495884,2136.1933325200002,38.206443177722285,0.4278054048254624,0.032125592342933336,0.6009888888886666,0
